Tier,"Subnet ",Description,Category,Company,App,Validation from,Native token,Notes
S Tier,SN1 : Prompting / Apex,Agentic workflows & inference,Generative AI,Macrocosmos,Yes,"Crucible Labs, Guru (soon Tao.com)",,
A Tier,"SN2 : Omron ",Inference verification (zkML),Generative AI,Inference Labs,,,,
S Tier,"SN3 : Templar ",Distributed treaining,Decentralized Training,Templar,,,,
S Tier,SN4 : Targon,Inference verification & optimization,Generative AI,Manifold,Yes,"Crucible Labs, Guru (soon Tao.com), OpenTensor, Yuma",,
A Tier,"SN5 : OpenKaito ",Text embedding model,Model development,Kaito,,,https://dexscreener.com/base/0x37bb450b17721c6720040a150029e504766e9777,
A Tier,"SN6 : Infinite Games ",Future event prediction,Predictive systems,Infinite Games,Soon,"Yuma, Yuma portfolio",https://dexscreener.com/base/0xba1963bb6c0d0d60cea960aa37218d13b69503a1,
B Tier,"SN7 : SubVortex ",Bittensor node infra,Infrastructure,SubVortex,,,,
S Tier,SN8 : Proprietary trading network (PTN),General trading strategies,DeFi,Taoshi,Soon,,,
S Tier,"SN9 : Pre-Training ",Training competition,Decentralized Training,Macrocosmos,,"Crucible Labs, Guru (soon Tao.com), OpenTensor, Yuma",,
A Tier,SN10 : Sturdy,Defi yield optimizer,DeFi,Sturdy,,"Yuma, Yuma portfolio",https://dexscreener.com/ethereum/0xa499b5e6af1d554316bcd96947940de0c3b5836e,
S Tier,SN11 : Dippy Roleplay,Roleplays LLMs,Model development,Dippy,Yes,Yuma,,
C tier,SN12 : Horde,Compute for bittensor validators,"Compute, Infrastructure",Horde,Yes,,,"Tier C because they have very little online presence, barely any documentation, and a use case that doesn’t really excite the general public."
S Tier,"SN13 : Data Universe ",Data scraping & storage,"Data Pipeline, Storage",Macrocosmos,Yes,"Crucible Labs, Guru (soon Tao.com)",,
C tier,SN14 : TAOHash,"PoW hashrate, rental & exchange",,Latent Holdings,,,,
B Tier,"SN15 : De_Val ",LLM evaluation/ranking,AI powered tool,De_val,,,,
B Tier,SN16 : BitAds,Online marketing & advertising,AI powered tool,BitAds,Yes,,,
S Tier,SN17 : Three Gen,Text-to-3D model,Generative AI,404,Yes,,,
C tier,SN18 : Zeus,Climate forecasting,Predictive systems,Orpheus AI,Yes,,,Tier C because they just went live on mainnet
S Tier,SN19 : Nineteen,Inference optimization,Generative AI,Rayon Labs,Yes,"Crucible Labs, Guru (soon Tao.com), OpenTensor, Yuma",,
B Tier,SN20 : BitAgent,Agent for personal assistance,AI Agent,Team Rizzo,,,,
A Tier,SN21: Omega Any-to-Any,Multimodal models,Model development,Omega Labs,Yes,Guru (soon Tao.com),,
B Tier,"SN22 : Desearch ",Smart-scraping,AI powered tool,Datura,,,,
B Tier,SN23 : Nuance,Nuancing of speech,AI powered tool,Zuvu AI,,,,
A Tier,SN24 : Omega Labs,Multimodal datasets,Data Pipeline,Omega Labs,,Guru (soon Tao.com),,
S Tier,"SN25 : Protein Folding ",Protein folding,DeSci,Macrocosmos,,Guru (soon Tao.com),,
C tier,SN26 : Storb,Storage,Storage,Storb,,,,"Tier C because their subnet isn’t up and running yet, and their X and website aren’t ready either."
B Tier,SN27 : NI Compute,Compute marketplace,Compute,Neural Internet,,,,
D tier,"SN28 ","dTAO stress test ",,,,,,
B Tier,"SN29 : Coldint ",Collaborative training,Decentralized Training,Coldint,,,,
C tier,"SN30 : Bettensor ",Sports prediction,Predictive systems,Nickel5,Soon,,,
D tier,SN31 : NullUntilBoot,,,,,,,
B Tier,"SN32 : It’s AI ",LLM generated content detection,Deepfake detection,It's AI,Yes,,,
A Tier,"SN33 : ReadyAI ",Data structuring,Data Pipeline,Afterparty,Yes,,,
S Tier,SN34 : BitMind,Deepfake detection,Deepfake detection,BitMind,Yes,Yuma,,
B Tier,SN35 : LogicNet,Mathematics model,Model development,AIT Protocol,Yes,,,
B Tier,SN36 : Web Agents,Web Agents,AI Agent,Autoppia,,,,
S Tier,"SN37 : Fine-tuning ",LLM fine-tuning,"Decentralized Training, Model development",Macrocosmos,,,,
B Tier,SN38 : Distributed training,Distributed training,Decentralized Training,,,,,"Tier B because they have no online presence yet, and there’s still very little documentation.
quasi aucune info mais 11 contributeurs github + crucible emerging"
C tier,"SN39 : EdgeMaxxing ",AI model optimization for consumer devices,Model development,Wombo,,,,
A Tier,SN40 : Chunking,Chunking & RAG,Data Pipeline,VectorChat,,,,
A Tier,SN41 : SportsTensor,Sports prediction model,"Model development, Predictive systems",SportsTensor,,,,
A Tier,SN42 : Masa,Data-Scraping,Data Pipeline,Masa,,"Yuma, Yuma portfolio",https://dexscreener.com/ethereum/0x541d846ddfa1efc15ca612bd76e2b595056edc8c,
B Tier,SN43 Graphite,Graph optimization,DeSci,Graphite,,,,
S Tier,SN44 : Score Vision,Computer vision for football,Predictive systems,Score,,"Yuma, Yuma portfolio",,
B Tier,SN45 : Gen42,Software engineering services,AI powered tool,Team Rizzo,,,,
B Tier,"SN46 : NeuralAI ",3D assets generation,Generative AI,NeuralAI,Yes,,https://dexscreener.com/ethereum/0x1112956589a2bea1b038732db4ea6b0c416ef130,
A Tier,SN47 : Condenses AI,Token compression to reduce LLM inference costs,Model development,Condenses AI,,,,
B Tier,SN48 : NextPlace AI,Property price prediction,Predictive systems,Nickel5,Yes,,,
C tier,SN49 : Polaris,GPU compute marketplace,Compute,Polaris,,,,
A Tier,SN50 : Synth,Synthetic data for price forecasting,"Data Pipeline, Predictive systems",Mode,,,,
S Tier,"SN51 : Celium ",Peer-to-peer GPU marketplace,Compute,Datura,Yes,"Crucible Labs, OpenTensor",,
A Tier,SN52 : Dojo,Human-generated datasets crowdsoursing,Data Pipeline,Tensorplex Labs,Soon,,,
B Tier,SN53 : EfficientFrontier,Crypto trading strategies,DeFi,SignalPlus,,OpenTensor,,
B Tier,SN54 : WebGenieAI,Text-to-code / Image-to-code,AI powered tool,WebGenieAI,,,,
B Tier,SN55 : Precog,Bitcoin price forecasting,Predictive systems,CoinMetrics.io,,Yuma portfolio,,
S Tier,SN56 : Gradients,On-demand fine-tuning,Model development,Rayon Labs,Soon,,,
B Tier,"SN57 : Gaia ",Geospatial forecasting,Predictive systems,Nickel5,,,,
A Tier,SN58 : Dippy Speech,Speech model,Model development,Dippy,Yes,Yuma portfolio,,
A Tier,"SN59 : Agent Arena ",AI agent competition,AI Agent,Masa,,,https://dexscreener.com/ethereum/0x541d846ddfa1efc15ca612bd76e2b595056edc8c,
B Tier,SN60 : Bitsec,Code vulnerability detection,AI powered tool,Bitsec,,Yuma portfolio,,
B Tier,SN61 : RedTeam,Cybersecurity,AI powered tool,RedTeam,,Yuma portfolio,,
C tier,SN62 : AgenTao,SWE agents,AI Agent,AgenTao,,,,
C tier,SN63 : Alpha Trade Exchange,Cross-subnets liquidity,"DeFi, Infrastructure",Nickel5,,,,
S Tier,"SN64 : Chutes ",General purpose compute,"Compute, Generative AI",Rayon Labs,,Guru (soon Tao.com),,
C tier,SN65 : Tao Private Network (TPN),VPN,Infrastructure,N/A,,,,
C tier,SN66 : FakeNews,Fake news detection,Deepfake detection,N/A,,,,
D tier,SN67 : Unknown,,,,,,,
A Tier,SN68 : Nova,Drug discovery,DeSci,Metanova Labs,,,,
D tier,SN69 : Unknown,,,,,,,
B Tier,SN70 : Vericore,Fact-checking,AI powered tool,dFusion,,Yuma portfolio,,
D tier,SN71 : Unknown,,,,,,,
D tier,SN72 : Unknown,,,,,,,
D tier,SN73 : Deeznuts,,,,,,,
D tier,SN74 : Unknown,,,,,,,
A Tier,SN75 : Hippius,Storage,Storage,Hippius,Yes,,,Endorsed by @mogmachine
B Tier,SN76 : Safescan,Cancer detection,DeSci,Safescan,,,,
D tier,SN77 : Unknown,,,,,,,
D tier,SN78 : Unknown,,,,,,,
D tier,SN79 : Taos,,,,,,,
C tier,SN80: AI Factory,Specialized models,Model development,AI Factory,,,,
B Tier,SN81 : Patrol,Security analysis,"Infrastructure, Security",Tensora,,,,
D tier,SN82 : Unknown,,,,,,,
D tier,SN83 : Unknown,,,,,,,
C tier,SN84 : Document Understanding,Document processing & understanding,AI powered tool,Tatsu,Soon,,https://dexscreener.com/ethereum/0xbaafed32ec23b8e206820181318c0750cd194a5c,
B Tier,SN85 : Vidaio,Video processing,AI powered tool,Vidaio,,,,
D tier,SN86 : Unknown,,,,,,,
C tier,SN87 : CheckerChain,Product review & scoring,"AI powered tool, Predictive systems",CheckerChain,,,,
C tier,SN88 : Staking,Staking strategies,AI powered tool,StakingAlpha,,,,
D tier,SN89 : Unknown,,,,,,,
D tier,SN90 : Unknown,,,,,,,
C tier,SN91 : Tensorprox,"DDOS protection ","Infrastructure, Security",Shugo.io,,,,
D tier,SN92 : Unknown,,,,,,,
C tier,SN93 : Bitcast,Creator Marketing,AI powered tool,Bitcast,,,,
C tier,SN94 : Eastworld,AI agent evaluation & training,AI Agent,Eastworld AI,,,,
D tier,SN95 : Unknown,,,,,,,